Transmission,Transmissionerr,Times
0.6942754150580536,0.00303401438452266,13.4
0.7236164887430286,0.0030004137974089288,39.41
0.7325930197808438,0.00300547261372386,46.9
0.7345525900812213,0.003000411306876795,53.89
0.7417562003281303,0.0029848299301415446,61.64
0.7452870758740295,0.002971955623333496,69.0
0.7502851284353227,0.0029759080970879074,77.59
0.7487889321760026,0.002973713332213417,87.47
0.7516864814044579,0.0029938765673490192,96.62
0.749490848563462,0.0029770599104932257,106.67
0.7430217794146932,0.002978178508035315,116.59
0.7375923275403561,0.0029656472899520026,128.03
0.7301250612124489,0.003001239828382135,137.4
0.7178073575705811,0.002971258980180493,150.73
0.7074364443681899,0.002925575488920861,160.78
0.6929746026016375,0.0029209406738008184,175.6
0.6776361211225851,0.00286468654731326,190.23
0.6569979089472908,0.0028505310063185736,206.15
0.649168511147903,0.0028426569321398274,213.93
0.6395985217845345,0.0028494082095773038,222.55
0.6295991765261216,0.0028376182336542067,232.21
0.6201028472762152,0.0028487345930939996,240.42
0.6108393371860551,0.0028370211525070607,247.91
0.6009408890852717,0.0028212334311931947,257.59
0.5892713555908891,0.002793711796375659,267.18
0.5784920430566227,0.002809810194724097,276.84000000000003
0.567861097957546,0.002798321881823148,288.2
0.551325974663644,0.002787572192928318,304.92
0.5364338600740999,0.002776051154478625,319.58
0.5242052057973712,0.0027838715482503486,333.9
0.5132275427158208,0.002780861537481678,347.9
0.5042375009016379,0.002778577811110613,357.53
0.49627306508114566,0.002659934938380347,367.45
0.4891500618359723,0.0026367469575730796,376.97
0.4809731325748046,0.0026319854917459594,389.06
0.47410429466799275,0.0026034698212950166,397.9
0.4686545633921483,0.0025935770000325153,406.67
0.4543256717911511,0.0025799808342279887,427.35
0.4360257842990839,0.0025728155248521847,448.35
0.42866421818859024,0.0025838253038942723,461.68
0.42365093132968706,0.0026464831904126755,472.98
0.414135589094742,0.0026521570781652577,489.44
0.4077651513044741,0.0026653529080063174,503.35
0.39803671446362016,0.002672950630228533,521.78
0.3927074933013623,0.0026622230539177986,533.59
0.38789356519942786,0.0026221569559088,547.09
0.38314403848010886,0.002578129347216499,560.4
0.38122707623842195,0.0025733909537649056,573.5
0.3769440195126979,0.002584932738805338,590.65
0.373724911106516,0.002630271586796562,606.06
0.37109817252882044,0.002643452992378188,619.12
0.3700309563660198,0.002663226370599231,637.36
0.36960074762555134,0.002702473987141775,651.22
0.36571720697929727,0.002719681566059804,667.32
0.3623138124900409,0.0027344170885265496,687.76
0.36072945163844256,0.0027350194326109275,701.46
0.3588792449555808,0.0027239975770277586,722.64
0.3568676035871471,0.0027303192233958176,740.24
0.35565685681489556,0.002730970115278658,749.26
0.35472941038766753,0.0027223187625196317,761.36
0.35116009463631875,0.002698798334671351,777.16
0.34555696486440723,0.0026555813402675235,809.23
0.34385084904772617,0.0026323255557687557,824.61
0.33960259008816596,0.002611401618276207,851.59
0.33478051859556174,0.00257445085642038,877.45
0.33114198464654404,0.002580040861710534,902.76
0.3283710416452943,0.002558070109195789,918.24
0.32646568241229146,0.0025379872415582107,936.36
0.3252149124590821,0.002579346203697239,949.96
0.3234058796911676,0.0025827592521636654,961.91
0.3211781404938598,0.0025690777600415695,974.94
0.3189370272755476,0.0025385315364831935,996.08
0.31449249120193,0.0025366351359333043,1017.9
0.31305058769492927,0.002523738389102028,1045.45
0.30991891112907993,0.0024909670547484087,1067.71
0.3072276150488428,0.0024868101091530437,1090.03
0.30579619232706323,0.0025330277651089126,1107.11
0.30447162388413634,0.0025045154319308883,1126.72
0.30151925117929007,0.0025112389511103166,1158.18
0.2981721932135804,0.002481919242613274,1194.36
0.29612445566325857,0.0024777005911948914,1212.93
0.29377478204743507,0.002496417032513451,1252.89
0.29152077596807363,0.0024692794260445187,1288.59
0.28936880048475305,0.002468140435974458,1350.31
0.2873864482813855,0.0024730636851672903,1414.99
0.2853084413478551,0.0025223629243835166,1487.23
0.2834759871569954,0.0024811873110087285,1578.47
0.2837171790001551,0.002452957578655981,1640.18
0.2854483442369841,0.002398226857852242,1756.67
0.28678098410642366,0.002362372905234747,1861.93
0.28669947291295517,0.0023639507857104373,1932.35
0.2844456286068541,0.002364883867110977,2056.7
0.2847275364719507,0.0022890221783963233,2258.64
